District,Affected_Population,Severity_Level,Displaced_Families,Food_Packs,Tents,Medical_Supplies,Water_Bottles,Blankets
Rajanpur,150000,High,5000,900000,10000,45000,1500000,450000
Dadu,200000,Critical,8000,1500000,20000,75000,2500000,750000
Jaffarabad,120000,Medium,4500,540000,6750,27000,900000,270000
Qambar Shahdadkot,90000,High,3200,540000,6400,27000,900000,270000
Larkana,110000,Medium,3800,495000,5700,24750,825000,247500
Sukkur,85000,Low,2800,255000,2800,12750,425000,127500
Khairpur,95000,Medium,3100,427500,4650,21375,712500,213750
Thatta,75000,High,2500,450000,5000,22500,750000,225000
Jamshoro,65000,Low,2200,195000,2200,9750,325000,97500
Shikarpur,80000,Medium,2700,360000,4050,18000,600000,180000
Kashmore,70000,High,2400,420000,4800,21000,700000,210000
Ghotki,88000,Medium,3000,396000,4500,19800,660000,198000
Jacobabad,92000,Critical,3500,690000,8750,34500,1150000,345000
Sanghar,78000,Medium,2600,351000,3900,17550,585000,175500
Mirpurkhas,82000,Low,2900,246000,2900,12300,410000,123000
Tharparkar,68000,High,2300,408000,4600,20400,680000,204000
Badin,72000,Medium,2500,324000,3750,16200,540000,162000
Matiari,60000,Low,2000,180000,2000,9000,300000,90000
Naushahro Feroze,75000,Medium,2600,337500,3900,16875,562500,168750
Nawabshah,85000,High,3000,510000,6000,25500,850000,255000
